Countries and areas,Total
Russian Federation,0.888
Georgia,0.85360873791742
Brazil,0.826
Japan,0.778766
Kyrgyzstan,0.737978568736697
Costa Rica,0.723635556542386
Gambia,0.650975444327906
China,0.570031344890594
Suriname,0.504284394668898
Iraq,0.489951520793774
Ecuador,0.4154457
Mexico,0.4078186
Tunisia,0.385738145767219
Mongolia,0.36728332666256
Lesotho,0.317341550957603
Madagascar,0.105840962364042
